Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-104.72694,0.8755594,-109.48336,-103.08357,37.254375,21.0,76.0,-0.045630906,-0.29671845,0.20182881,-5.4189944,-10.16614,-0.055252746,5.418995,34.71617,-0.04827392,-22.148684,0.7436313,0.0011963188,80.0,65025,0.9910543,0.0003,-85.92701721191406,9.675540924072266,0.508999994180536,32000,12,2529
2,-104.76459,1.0045748,-112.40462,-102.96252,37.280373,23.0,99.0,-1.6475145,-6.423912,6.4812455,-3.7767925,-14.989958,2.793066,3.7767923,18.288277,-0.10806143,-12.056433,0.7429775,0.002557969,80.0,65025,0.9752058,0.00029979999999999997,-85.88429260253906,9.763216972351074,0.5086673473634321,64000,25,2525
3,-104.83357,1.1842793,-116.996635,-103.03446,38.007153,22.0,115.0,-5.4204473,-9.073103,3.299409,-1.8426481,-7.471401,1.8117405,1.8426481,4.588776,-0.045663804,-3.7676892,0.74232316,0.0021250155,80.0,65025,0.9799913,0.00029959999999999996,-85.74554443359375,9.944080352783203,0.5083346755481161,96000,37,2538
4,-104.96533,1.3502685,-122.980194,-103.155594,38.66424,22.0,141.0,-7.1287756,-10.011721,-1.9598736,-0.82771593,-10.070641,1.733752,0.8277159,1.1880486,-0.022253647,-0.84866774,0.7416686,0.0023745717,80.0,65025,0.9840263,0.00029939999999999996,-85.5887451171875,10.134943962097168,0.5080020093473719,128000,50,2533
5,-105.17985,1.5430167,-118.25169,-103.25639,40.113064,23.0,135.0,-7.811956,-10.340984,-0.07314555,-0.3081276,-9.620568,2.1096861,0.3081276,0.42197257,-0.013091832,-0.16587079,0.7410136,0.0022437107,80.0,65025,0.99205834,0.00029919999999999995,-85.38372802734375,10.28878402709961,0.5076693187755824,160000,63,2546
6,-105.53776,2.0735576,-121.92601,-103.17152,42.205025,22.0,142.0,-7.9996414,-10.212344,-3.264133,-0.052727293,-5.8110924,1.7973003,0.052727297,0.28225654,-0.010096386,-0.032699853,0.7403583,0.0022218712,80.0,65025,0.9975017,0.000299,-85.06336975097656,10.621105194091797,0.5073366646451225,192000,75,2537
7,-105.841156,2.4183831,-126.34462,-103.143684,44.03719,21.0,164.0,-7.894792,-10.04927,-2.5555778,0.08664412,-6.190786,2.0654488,-0.08664411,0.38217074,-0.011653526,-0.06822495,0.73970217,0.0019095355,80.0,65025,1.0007565,0.0002988,-84.7302017211914,10.931573867797852,0.5070039867303798,224000,88,2529
8,-106.04962,2.7218168,-126.02443,-103.23425,45.648067,23.0,160.0,-7.6653214,-9.737387,-2.997343,0.13750778,-6.173579,1.874626,-0.13750778,0.4303319,-0.0123167,-0.09092424,0.739046,0.0017238746,80.0,65025,1.0021617,0.00029859999999999994,-84.36687469482422,11.331015586853027,0.5066713457640404,256000,101,2525
9,-106.410576,3.2664177,-133.97952,-103.38372,48.004513,23.0,183.0,-7.509126,-9.150005,-4.1348457,0.21671866,-4.602921,1.804121,-0.21671866,0.33513656,-0.009962279,-0.079389304,0.7383889,0.001613922,80.0,65025,1.005668,0.0002984,-83.96719360351562,11.77724838256836,0.5063386815994297,288000,113,2542
10,-106.41248,3.0055885,-125.41232,-103.168434,48.170696,22.0,157.0,-7.3055577,-8.895146,-4.7742844,0.24454711,-2.860217,1.9265817,-0.24454711,0.2998768,-0.00943438,-0.09213492,0.7377319,0.0015910787,80.0,65025,1.0057467,0.0002982,-83.64594268798828,12.087449073791504,0.5060059945689283,320000,126,2544
11,-106.572624,3.2701244,-130.18172,-103.12888,49.128086,22.0,162.0,-7.018277,-8.476422,-4.5794163,0.20394263,-2.881061,1.473077,-0.20394263,0.24614558,-0.008178659,-0.06394671,0.73707396,0.0015406393,80.0,65025,1.0042692,0.000298,-83.31265258789062,12.45740032196045,0.5056733452856872,352000,139,2529
12,-106.70844,3.2866077,-131.22278,-103.26076,50.368088,23.0,181.0,-6.805652,-8.2647295,-4.333173,0.20643014,-2.5298886,1.5405282,-0.20643012,0.22797325,-0.007965632,-0.06549969,0.736416,0.0015030582,80.0,65025,1.0036249,0.0002978,-83.02510070800781,12.722457885742188,0.5053406737214363,384000,151,2534
13,-106.59807,3.5863283,-139.80464,-103.22238,48.992294,24.0,229.0,-6.626237,-8.047625,-3.997016,0.17165066,-2.481814,1.541284,-0.17165068,0.19326565,-0.0076928027,-0.04872493,0.7357576,0.0015512774,80.0,65025,1.0052857,0.00029759999999999997,-82.78103637695312,12.991376876831055,0.5050080103088117,416000,164,2539
14,-106.96424,4.0434856,-132.34128,-103.26936,51.115383,22.0,188.0,-6.424187,-8.023254,-4.0776944,0.16341409,-2.2329054,1.4505857,-0.16341409,0.18827856,-0.0076083206,-0.050351936,0.7350987,0.0015481309,80.0,65025,1.0053544,0.00029739999999999996,-82.52306365966797,13.24267578125,0.5046753252389575,448000,176,2520
15,-106.98006,3.9804137,-134.69987,-103.15319,51.21061,23.0,177.0,-6.278166,-8.181071,-3.8717158,0.14417334,-2.5815678,1.7028369,-0.14417332,0.16077901,-0.0073903576,-0.038796052,0.734439,0.0016068823,80.0,65025,1.005172,0.00029719999999999996,-82.28992462158203,13.466801643371582,0.5043426789656383,480000,189,2537
