Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-104.0628,0.8623087,-109.530334,-102.2771,32.764103,20.0,56.0,-0.08677916,-0.3626249,0.27022463,-5.66219,-10.248527,-0.10029301,5.66219,37.01886,-0.068161726,-22.58643,0.7436313,0.001422306,80.0,4304,0.98837274,0.0003,-87.53065490722656,8.629729270935059,0.508999994180536,32000,28,1138
2,-104.15468,0.8931094,-108.7947,-102.20867,33.131878,20.0,54.0,-0.861708,-6.7274413,6.13461,-4.185507,-15.604533,3.2162325,4.185507,25.402042,-0.10384464,-18.365192,0.7429775,0.0019353982,80.0,4304,0.9810729,0.00029979999999999997,-87.43131256103516,8.857536315917969,0.5086673473634321,64000,55,1185
3,-104.1453,0.88914895,-109.08038,-102.30345,33.279167,20.0,61.0,-5.094611,-9.438387,2.35748,-2.2012885,-8.8321705,0.71667695,2.2012887,6.019658,-0.03958565,-5.0347176,0.74232316,0.0018792935,80.0,4304,0.98287654,0.00029959999999999996,-87.40335845947266,8.77425479888916,0.5083346755481161,96000,83,1124
4,-104.13529,0.83433074,-107.84819,-102.53987,33.457592,20.0,54.0,-7.1678348,-10.617675,-1.9659866,-1.0108883,-4.7293134,0.8252906,1.0108882,1.56528,-0.01657787,-1.2502135,0.7416686,0.00152895,80.0,4304,0.9902867,0.00029939999999999996,-87.3874282836914,8.71037769317627,0.5080020093473719,128000,113,1070
5,-104.181274,0.8731461,-107.840645,-102.45667,33.833687,22.0,60.0,-8.201567,-10.918381,-4.954332,-0.36125174,-3.9554098,0.9518391,0.36125174,0.3584003,-0.007653177,-0.2175723,0.7410136,0.001487145,80.0,4304,0.9942667,0.00029919999999999995,-87.34081268310547,8.715041160583496,0.5076693187755824,160000,143,1103
6,-104.20444,0.9180156,-109.776634,-102.3735,34.00852,21.0,57.0,-8.521443,-10.7729,-6.229048,-0.1338704,-3.033309,0.8806496,0.1338704,0.14652367,-0.004910432,-0.03844035,0.7403583,0.0015582356,80.0,4304,0.9967145,0.000299,-87.29167175292969,8.740289688110352,0.5073366646451225,192000,172,1081
7,-104.28021,1.0055492,-110.16991,-102.52969,34.29538,19.0,61.0,-8.624143,-10.640011,-6.683585,-0.049911942,-2.5294852,1.2823405,0.049911942,0.111515746,-0.003958077,-0.011227561,0.73970217,0.0013517325,80.0,4304,0.9982039,0.0002988,-87.23980712890625,8.777316093444824,0.5070039867303798,224000,201,1107
8,-104.24829,0.9916398,-110.9269,-102.53684,34.323307,21.0,60.0,-8.675632,-10.585374,-6.5630884,-0.010588146,-2.5475736,1.4343132,0.010588147,0.105723485,-0.0042374074,-0.006701485,0.739046,0.0013469555,80.0,4304,0.9986568,0.00029859999999999994,-87.20632934570312,8.769269943237305,0.5066713457640404,256000,230,1105
9,-104.3701,1.0445956,-109.291245,-102.405876,35.005478,20.0,68.0,-8.648518,-10.525485,-6.6506314,-0.005903709,-10.01944,1.101967,0.00590371,0.14599515,-0.0048861485,-0.0072287926,0.7383889,0.0014417296,80.0,4304,0.99901175,0.0002984,-87.1529769897461,8.779309272766113,0.5063386815994297,288000,260,1085
10,-104.357895,1.0556691,-110.1794,-102.39648,35.22051,20.0,63.0,-8.6442,-10.4360895,-6.826006,0.00080248713,-2.4717393,1.2009523,-0.000802487,0.11181472,-0.004776575,-0.005035769,0.7377319,0.0015467382,80.0,4304,0.9975426,0.0002982,-87.0982666015625,8.805878639221191,0.5060059945689283,320000,290,1081
11,-104.41693,1.150428,-110.70238,-102.48584,35.91001,20.0,72.0,-8.616202,-10.434884,-4.7315736,0.0070183943,-5.180373,1.2950804,-0.007018393,0.12664658,-0.0048839506,-0.0075494354,0.73707396,0.0013678758,80.0,4304,0.9983413,0.000298,-87.0205307006836,8.8698091506958,0.5056733452856872,352000,322,973
12,-104.58272,1.3533931,-113.766914,-102.46881,36.692307,21.0,79.0,-8.592123,-10.453157,-6.433684,0.015227502,-3.5663161,1.4138885,-0.015227502,0.13593349,-0.0050277603,-0.0083482135,0.736416,0.0014021262,80.0,4304,0.9985323,0.0002978,-86.9330062866211,8.922019958496094,0.5053406737214363,384000,351,1136
13,-104.58002,1.2001479,-111.12708,-102.67089,36.836407,20.0,88.0,-8.554336,-10.371945,-6.125252,-0.007816547,-9.861944,1.474275,0.007816547,0.16355926,-0.0062422403,-0.009158714,0.7357576,0.0015927851,80.0,4304,0.9966226,0.00029759999999999997,-86.86466217041016,8.944396018981934,0.5050080103088117,416000,381,1071
14,-104.59189,1.2300836,-111.050735,-102.59644,36.968716,20.0,73.0,-8.556912,-10.418594,-6.38576,0.00141439,-3.1847944,1.2254952,-0.00141439,0.14019988,-0.0057392837,-0.010641356,0.7350987,0.0016113636,80.0,4304,0.9979387,0.00029739999999999996,-86.78899383544922,9.016815185546875,0.5046753252389575,448000,411,1064
15,-104.62328,1.2711741,-110.329025,-102.522964,37.30105,19.0,76.0,-8.537122,-10.373692,-3.8517973,-0.004018094,-9.977031,1.5347016,0.004018096,0.17209074,-0.006579796,-0.014260607,0.734439,0.0016743672,80.0,4304,0.997092,0.00029719999999999996,-86.72357940673828,9.045470237731934,0.5043426789656383,480000,440,1098
16,-104.72588,1.3657863,-112.61575,-102.7356,37.893238,20.0,75.0,-8.526775,-10.453619,-6.6577997,0.005219678,-3.0221,1.1874261,-0.0052196775,0.13897434,-0.006426066,-0.014703173,0.73377925,0.0017191948,80.0,4304,0.9980547,0.00029699999999999996,-86.64833068847656,9.09576416015625,0.504010011618452,512000,468,1134
17,-104.82993,1.3568894,-112.14008,-102.461174,38.914738,20.0,106.0,-8.503127,-10.459334,-6.377738,0.01246971,-3.3388186,1.4850662,-0.012469711,0.1352422,-0.0063896985,-0.014094226,0.7331191,0.0017562358,80.0,4304,0.9981714,0.00029679999999999995,-86.55770111083984,9.162383079528809,0.5036773235284505,544000,498,1093
18,-104.91648,1.4629456,-111.88702,-102.481346,39.38964,20.0,84.0,-8.490547,-10.423692,-6.3497634,0.005552805,-9.864184,1.2855203,-0.005552805,0.144977,-0.0064372444,-0.011830739,0.7324581,0.001724205,80.0,4304,0.99859613,0.0002966,-86.46851348876953,9.227774620056152,0.5033446750298546,576000,527,1108
19,-104.97484,1.513122,-111.6763,-102.45419,39.96115,20.0,86.0,-8.442115,-10.528929,-6.304839,0.0028312716,-3.176393,1.2367669,-0.0028312705,0.13907927,-0.0068322364,-0.014943716,0.7317973,0.001847306,80.0,4304,0.99869585,0.0002964,-86.36962890625,9.32547664642334,0.5030120063706592,608000,556,1095
20,-105.195595,1.6291137,-112.94987,-102.637726,41.38781,20.0,86.0,-8.419623,-10.439302,-6.199616,0.018622516,-2.9949284,1.2400142,-0.018622514,0.1278798,-0.007082491,-0.012824855,0.73113567,0.0019389391,80.0,4304,0.9995205,0.00029619999999999994,-86.25393676757812,9.434330940246582,0.5026793478433647,640000,584,1132
21,-105.40296,1.7516166,-113.38422,-102.696106,42.252647,22.0,87.0,-8.395137,-10.406945,-6.1671314,0.012378081,-2.348691,1.2123243,-0.012378081,0.12108355,-0.0069540762,-0.010625893,0.73047364,0.0020060611,80.0,4304,0.9994645,0.000296,-86.1436538696289,9.519610404968262,0.5023466697765746,672000,613,1112
22,-105.48592,1.8212311,-114.73595,-102.63821,43.01884,21.0,97.0,-8.355777,-10.509134,-6.2108808,0.0077287797,-9.952211,1.1493075,-0.0077287797,0.15625295,-0.0079081375,-0.01239327,0.729811,0.0021622046,80.0,4304,0.9979688,0.0002958,-86.03034973144531,9.60332202911377,0.5020140024227473,704000,643,1066
23,-105.677475,1.8444048,-114.821815,-102.824,44.491642,22.0,119.0,-8.3700285,-10.532871,-6.067219,0.04557842,-2.2084148,1.4204289,-0.045578416,0.12742811,-0.007833598,-0.0146422,0.7291482,0.0020689717,80.0,4304,1.001516,0.0002956,-85.89984893798828,9.717864990234375,0.5016813460522958,736000,672,1094
24,-105.95888,2.0331364,-115.86428,-102.84806,46.14472,20.0,96.0,-8.303949,-10.587988,-6.1623955,0.04169699,-2.4409208,1.2854608,-0.041696988,0.13183643,-0.007942586,-0.013267063,0.728485,0.0021086698,80.0,4304,1.0001221,0.00029539999999999997,-85.75507354736328,9.860689163208008,0.5013486710527296,768000,701,1097
25,-106.17516,2.0637453,-113.137695,-102.8153,48.001503,20.0,107.0,-8.229788,-10.485936,-5.918077,0.04676417,-2.6532025,1.3718559,-0.046764173,0.14575385,-0.008616796,-0.019417709,0.7278213,0.0022426543,80.0,4304,0.99989545,0.00029519999999999997,-85.59532928466797,10.017579078674316,0.5010160076164407,800000,731,1081
26,-106.57981,2.363737,-122.06079,-102.773476,50.475437,20.0,140.0,-8.14943,-10.47691,-5.8555107,0.04656423,-2.4154801,2.0506096,-0.04656423,0.14513206,-0.008816295,-0.013915949,0.727157,0.0023795594,80.0,4304,1.0003426,0.00029499999999999996,-85.40856170654297,10.231603622436523,0.5006833261702077,832000,760,1114
