Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-156.5411,142.69633,-1372.5342,-100.63397,80.3125,8.0,500.0,0.03225708,-0.27391705,0.40747422,-13.513594,-93.30598,-0.30555645,13.513593,320.635,-0.19387996,-84.473526,0.7436313,0.0013729592,80.0,1371,0.98869216,0.0003,-96.02912902832031,46.98143005371094,0.508999994180536,32000,4,6894
2,-178.26064,183.52039,-1284.601,-101.15175,97.49201,7.0,500.0,-2.3129368,-8.93992,8.860228,-0.28616586,-11.498512,10.626373,0.2861659,9.393829,-0.05565851,-6.0230803,0.7403583,0.0019638117,80.0,1371,0.9980941,0.000299,-100.50777435302734,50.376529693603516,0.5073366646451225,64000,9,6934
3,-148.78719,97.681435,-854.4514,-100.477264,83.54794,6.0,500.0,-2.2723145,-8.93826,6.7498713,0.011464508,-8.26212,6.0590754,-0.011464508,2.104317,-0.019541059,-1.216309,0.73707396,0.0014879472,80.0,1371,0.9992173,0.000298,-96.10803985595703,45.36800765991211,0.5056733452856872,96000,13,6934
4,-173.23712,160.95131,-1174.5767,-101.42844,101.99675,6.0,500.0,-2.3200006,-8.719889,5.7551303,-0.03454015,-6.9979086,4.7848654,0.034540147,0.88548636,-0.010749102,-0.4312053,0.73377925,0.0013207709,80.0,1371,0.9992102,0.00029699999999999996,-95.83547973632812,45.61867141723633,0.504010011618452,128000,18,6977
5,-162.20673,150.75533,-1442.3374,-100.587006,90.89645,12.0,500.0,-2.1110163,-8.309848,4.947355,-0.03997443,-6.5545983,3.35088,0.03997443,0.6178958,-0.009246023,-0.29017687,0.7304736,0.0015043977,80.0,1371,0.9984909,0.000296,-95.75611114501953,46.06912612915039,0.5023466697765746,160000,23,6912
6,-180.28668,206.17635,-2084.7942,-100.714195,96.90654,8.0,500.0,-1.7894429,-8.035635,2.806151,-0.11894819,-4.702709,2.5468018,0.11894819,0.5105663,-0.0074197818,-0.23970641,0.727157,0.0012709658,80.0,1371,0.9979565,0.00029499999999999996,-97.59579467773438,51.14378356933594,0.5006833261702077,192000,27,6906
7,-182.89389,201.34438,-1789.416,-100.64617,101.09804,3.0,500.0,-1.84823,-7.930333,2.9041533,-0.058414772,-3.733821,1.6756845,0.058414776,0.3110323,-0.0058360985,-0.14565653,0.7238293,0.0013655039,80.0,1371,0.998772,0.000294,-98.7438735961914,53.6267204284668,0.49901998748530696,224000,32,6896
8,-193.72581,238.02919,-2059.1829,-100.807755,102.56478,9.0,500.0,-1.7918161,-8.109504,1.6278368,-0.059661053,-2.874658,1.6183447,0.059661057,0.25325757,-0.004920466,-0.12543668,0.72049046,0.0013603116,80.0,1371,0.99841046,0.00029299999999999997,-100.54651641845703,57.68962860107422,0.4973566606824232,256000,37,6890
9,-175.67496,188.31944,-1478.2936,-100.99692,92.68374,7.0,500.0,-1.7500118,-7.6870513,1.2053592,-0.004181,-2.1015444,1.4337095,0.0041809976,0.1807414,-0.00462006,-0.0938464,0.71714056,0.0013332022,80.0,1371,0.9988572,0.000292,-101.1909408569336,57.75064468383789,0.49569332344985473,288000,41,6864
10,-195.25851,238.21255,-2396.7102,-100.703,99.82667,3.0,500.0,-1.8412087,-7.995225,1.3401905,-0.07465786,-2.9039736,1.4551132,0.07465786,0.15885584,-0.0036676822,-0.08087087,0.71377957,0.0011590568,80.0,1371,0.99718547,0.00029099999999999997,-102.87578582763672,59.990234375,0.49403001303756583,320000,46,6883
