Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-142.50136,14.244525,-221.4128,-100.66405,95.866264,7.0,188.0,0.20371003,-0.12738594,0.475858,-8.326472,-18.91034,-0.25763047,8.326472,79.74736,-0.08545649,-42.2063,0.7436313,0.001225871,80.0,13899,0.9897313,0.0003,-82.4690933227539,15.881402969360352,0.508999994180536,32000,4,6717
2,-139.17468,14.646069,-227.9817,-101.60124,89.98006,7.0,276.0,-2.586166,-8.120968,8.261947,-1.2415811,-14.2660885,7.13792,1.2415812,8.070429,-0.055804893,-6.3637304,0.7429775,0.0019601437,80.0,13899,0.9923849,0.00029979999999999997,-82.52838134765625,15.810994148254395,0.5086673473634321,64000,9,6731
3,-140.68741,23.473501,-415.94846,-101.17465,92.3959,7.0,307.0,-3.633621,-7.7299347,5.2625785,-0.7821128,-8.978007,3.1751032,0.7821127,1.9158382,-0.027265392,-1.4386947,0.74232316,0.0022266763,80.0,13899,0.98887146,0.00029959999999999996,-82.65003967285156,15.97882080078125,0.5083346755481161,96000,14,6750
4,-150.04712,90.705536,-1692.1903,-101.90791,99.27358,7.0,500.0,-4.1365175,-7.648664,2.3768678,-0.4895119,-9.179455,1.77864,0.4895119,0.9228655,-0.018436875,-0.6549915,0.7416686,0.0023086541,80.0,13899,0.99106574,0.00029939999999999996,-83.59474182128906,23.103437423706055,0.5080020093473719,128000,18,6838
5,-170.96288,220.40121,-3705.4978,-101.34314,115.71429,6.0,500.0,-4.3213468,-7.3309298,6.6345406,0.084089294,-16.938126,2.8918476,-0.08408931,1.5610543,-0.027523767,-1.0447835,0.7410136,0.17921501,80.0,13899,0.99169695,0.00029919999999999995,-85.54585266113281,47.516082763671875,0.5076693187755824,160000,23,6803
6,-251.74448,443.34235,-4302.6445,-101.779015,143.12785,7.0,500.0,-3.8135395,-6.436313,4.3072147,0.37077406,-8.598444,4.254016,-0.3707741,1.5844481,-0.017531075,-1.1050792,0.7403583,0.0016889444,80.0,13899,1.0021524,0.000299,-93.169677734375,80.58804321289062,0.5073366646451225,192000,28,6808
7,-297.04062,476.69476,-3606.2854,-122.45706,168.51613,53.0,500.0,-3.4722996,-5.5509787,0.6608939,0.47724792,-3.9753754,3.792859,-0.47724795,0.8490602,-0.010633402,-0.59667933,0.73970217,0.0012925544,80.0,13899,1.0044136,0.0002988,-99.59013366699219,97.17987060546875,0.5070039867303798,224000,33,6836
8,-319.50848,495.40497,-3290.0042,-101.388336,177.14452,6.0,500.0,-2.9755907,-5.064697,-1.007057,0.3754277,-2.4899158,2.333307,-0.37542772,0.4324942,-0.0064083077,-0.3192079,0.739046,0.0010493513,80.0,13899,1.005961,0.00029859999999999994,-105.22222900390625,108.1583251953125,0.5066713457640404,256000,37,6814
9,-309.50238,454.30307,-2819.8438,-101.10229,178.01733,6.0,500.0,-2.5644643,-5.391008,-0.952804,0.305233,-1.7652563,1.5309372,-0.305233,0.23001525,-0.004873937,-0.1754156,0.7383889,0.0009853981,80.0,13899,1.0048976,0.0002984,-108.65523529052734,112.6841049194336,0.5063386815994297,288000,42,6752
10,-277.83386,398.50995,-3536.416,-101.81787,177.38373,7.0,500.0,-2.1970546,-5.783245,-0.071761385,0.24962156,-1.7650212,1.2773696,-0.24962154,0.12860772,-0.0032573063,-0.09288132,0.7377319,0.00085172907,80.0,13899,1.0055785,0.0002982,-110.0797119140625,113.9273681640625,0.5060059945689283,320000,48,5339
