Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-134.77876,7.993949,-168.37395,-101.49732,83.401054,8.0,145.0,-0.09406436,-0.428564,0.32674202,-7.8996677,-16.475784,-0.068028495,7.8996677,70.97907,-0.09300953,-39.431,0.7436313,0.0014462258,80.0,10795,0.98747003,0.0003,-83.17526245117188,15.1038179397583,0.508999994180536,32000,4,6452
2,-132.31941,8.447539,-172.92618,-101.66302,77.57213,7.0,126.0,-2.2944114,-8.423731,8.244541,-1.4958713,-15.123363,8.587456,1.4958713,22.438381,-0.10121988,-15.425668,0.7429775,0.0018569805,80.0,10795,0.9919379,0.00029979999999999997,-83.77891540527344,14.4620361328125,0.5086673473634321,64000,9,6462
3,-132.82121,8.367703,-165.58081,-100.68361,77.74384,7.0,127.0,-3.680723,-7.0028496,4.514602,-0.92245424,-9.502641,2.1048226,0.92245424,1.7664545,-0.022818856,-1.2616117,0.74232316,0.0015629779,80.0,10795,0.9875057,0.00029959999999999996,-83.95880889892578,14.369799613952637,0.5083346755481161,96000,14,6459
4,-134.59435,9.218329,-175.58781,-101.70656,81.72021,7.0,141.0,-4.461453,-7.2257924,1.7422953,-0.59276193,-5.4353714,2.7295272,0.592762,0.69198394,-0.013949357,-0.4443378,0.7416686,0.0016256269,80.0,10795,0.9883553,0.00029939999999999996,-83.87909698486328,14.448136329650879,0.5080020093473719,128000,19,6460
5,-136.58478,10.5218,-192.5054,-101.38692,84.072,7.0,149.0,-5.095561,-7.323343,-1.1676849,-0.31877637,-4.2106705,2.1644533,0.31877643,0.28587106,-0.008379493,-0.13760659,0.7410136,0.0016632657,80.0,10795,0.99061584,0.00029919999999999995,-83.85899353027344,14.519316673278809,0.5076693187755824,160000,24,6426
6,-141.64906,19.344255,-292.1241,-101.47052,93.39349,7.0,266.0,-5.2868743,-7.25445,-2.2276742,-0.1624849,-3.196811,2.4132998,0.16248488,0.16987722,-0.006623864,-0.05082392,0.7403583,0.001711781,80.0,10795,0.99328876,0.000299,-83.7176742553711,14.78548526763916,0.5073366646451225,192000,29,6444
7,-142.80849,16.251833,-241.70619,-101.5499,96.73231,7.0,216.0,-5.4730783,-7.241337,-2.1934469,-0.04953674,-2.946951,1.8836442,0.049536742,0.10636198,-0.0047440496,-0.013690831,0.73970217,0.001674357,80.0,10795,0.99713874,0.0002988,-83.5036849975586,15.014981269836426,0.5070039867303798,224000,34,6440
8,-164.69077,108.112144,-1410.0665,-100.98111,115.87546,7.0,500.0,-5.3614855,-7.1566796,1.3465227,-0.084511966,-9.790716,2.225017,0.084511966,0.5174204,-0.012986893,-0.33004606,0.739046,0.002224133,80.0,10795,0.9955964,0.00029859999999999994,-84.15646362304688,20.472148895263672,0.5066713457640404,256000,39,6458
9,-188.19272,119.8079,-830.54175,-101.93488,139.18141,8.0,500.0,-5.274078,-7.870386,0.3521145,0.25454295,-3.8631647,3.6861534,-0.25454295,0.48152497,-0.011942865,-0.27898234,0.7383889,0.0015950404,80.0,10795,1.0034145,0.0002984,-84.96792602539062,23.294065475463867,0.5063386815994297,288000,44,6405
10,-241.61942,270.08005,-2173.4265,-101.42594,169.20967,7.0,500.0,-4.802645,-7.661784,-0.18969555,0.13831304,-7.183414,2.970197,-0.13831303,0.78036547,-0.01836003,-0.40095907,0.7377319,0.0018660839,80.0,10795,0.9983289,0.0002982,-87.09436798095703,34.91946792602539,0.5060059945689283,320000,49,6404
